Site,C14Age,C14SD,LabCode,Material,Culture,Latitude,Longitude,Description,Comments,Reference,FullReference,Exclude,Class
Taperinha (PA-ST-27),7090,80,OxA-1546,Freshwater shell,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Taperinha (PA-ST-27),7080,80,OxA-1547,Freshwater shell,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Taperinha (PA-ST-27),7010,90,OxA-1542,Freshwater shell,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Taperinha (PA-ST-27),7000,80,OxA-1545,Freshwater shell,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Taperinha (PA-ST-27),6980,80,OxA-1544,Charcoal,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Taperinha (PA-ST-27),6930,80,OxA-1543,Charcoal,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Taperinha (PA-ST-27),6880,80,OxA-1760,Charcoal,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Taperinha (PA-ST-27),6860,100,OxA-1541,Charcoal,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Taperinha (PA-ST-27),6640,80,OxA-2432,Humic/fulvic acids,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Taperinha (PA-ST-27),6590,100,OxA-2431,Ceramic residue,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Taperinha (PA-ST-27),6300,90,OxA-1540,Freshwater shell,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Barabina,5965,50,SI-4333,Charcoal,Unclassified,8.2085,-59.8169,Shell mound.,"In spite of Roosevelt's association of these dates with early Alaka pottery, Williams (1997) clarifies that they come from preceramic levels.",Roosevelt 1995,"Roosevelt, Anna Curtenius. 1995. “Early Pottery in the Amazon: Twenty Years of Scholarly Obscurity.” In The Emergence of Pottery: Technology and Innovation in Ancient Societies, edited by W.K. Barnett and J. Hoopes, 115–31. Washington D.C.: Smithsonian Institution Press.",FALSE,NI
Taperinha (PA-ST-27),5705,80,GX-12844,Freshwater shell,Taperinha,-2.4433,-54.2802,"Shell mound ca. 4 m high. Excavations revealed superimposed strata with charcoal, ashes, hearths, burnt rocks and ceramic debris. Rare human bones were found.",,Roosevelt et al. 1991,"Roosevelt, Anna Curtenius, R. A. Housley, Maura Imazio da Silveira, Silvia Maranca, and R. Johnson. 1991. “Eighth Millennium Pottery from a Prehistoric Shell Midden in the Brazilian Amazon.” Science 254 (5038): 1621–24.",FALSE,HZ
Agüerito,5680,165,I-10009,,Unclassified,7.6000,-66.3833,,Consensus is that such early dates refer to Cedeñoid complex.,Roosevelt 1997,"Roosevelt, Anna Curtenius. 1997. The Excavations at Corozal, Venezuela: Stratigraphy and Ceramic Seriation. New Haven: Yale University.",FALSE,NI
Justino (SE00021),5570,70,Beta-86744,Charcoal,Canindé,-9.5974,-43.8375,"Large funerary site with over 160 burials. Both primary inhumations and secondary urn burials were found, accompanied by ceramics, adornments and hearths. Cremations and disarticulated bones were also recorded.",,Vergne 2004,"Vergne, Cleonice. 2004. “Arqueologia Do Baixo São Francisco: Estruturas Funerárias Do Sítio Justino - Região Do Xingó, Canindé Do São Francisco, Segipe.” PhD Dissertation, Universidade de São Paulo.",FALSE,PC
Uruá (PA-SA-23),5570,125,SI-1034,Charcoal,Mina,-0.9700,-48.0000,Shell mound.,,Roosevelt 1995,"Roosevelt, Anna Curtenius. 1995. “Early Pottery in the Amazon: Twenty Years of Scholarly Obscurity.” In The Emergence of Pottery: Technology and Innovation in Ancient Societies, edited by W.K. Barnett and J. Hoopes, 115–31. Washington D.C.: Smithsonian Institution Press.",FALSE,HZ
Barabina,5460,65,SI-5743,Peat,Unclassified,8.2085,-59.8169,Shell mound.,"In spite of Roosevelt's association of these dates with early Alaka pottery, Williams (1997) clarifies that they come from preceramic levels.",Roosevelt 1995,"Roosevelt, Anna Curtenius. 1995. “Early Pottery in the Amazon: Twenty Years of Scholarly Obscurity.” In The Emergence of Pottery: Technology and Innovation in Ancient Societies, edited by W.K. Barnett and J. Hoopes, 115–31. Washington D.C.: Smithsonian Institution Press.",FALSE,NI
Agüerito,5425,195,GX-5181,,Unclassified,7.6000,-66.3833,,Consensus is that such early dates refer to Cedeñoid complex.,Roosevelt 1997,"Roosevelt, Anna Curtenius. 1997. The Excavations at Corozal, Venezuela: Stratigraphy and Ceramic Seriation. New Haven: Yale University.",FALSE,NI
Porto da Mina (PA-SA-05),5115,195,GX-2472,Charcoal,Mina,-0.8347,-47.0079,"Shell mound 4 m high with layers of charcoal, ash and debris intercalated with layers of burnt shell. A primary burial was uncovered, accompanied by a polished axe.",,Simões 1981,"Simões, Mário F. 1981. “Coletores-Pescadores Ceramistas Do Litoral Do Salgado (Pará): Nota Preliminar.” Boletim Do Museu Paraense Emílio Goeldi 78: 1–26.",FALSE,HZ
Urupá (RO-JI-15),5070,60,,,Proto-Tupiguarani,-10.9557,-61.9574,,The dates are extremely early. The pottery with clear Tupiguarani traits shown in Miller (2009) comes from sites with much later dates.,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",TRUE,TP
Porto da Mina (PA-SA-05),5070,95,SI-1036,Charcoal,Mina,-0.8347,-47.0079,"Shell mound 4 m high with layers of charcoal, ash and debris intercalated with layers of burnt shell. A primary burial was uncovered, accompanied by a polished axe.",,Simões 1981,"Simões, Mário F. 1981. “Coletores-Pescadores Ceramistas Do Litoral Do Salgado (Pará): Nota Preliminar.” Boletim Do Museu Paraense Emílio Goeldi 78: 1–26.",FALSE,HZ
Barabina,5065,70,SI-5741,Peat,Unclassified,8.2085,-59.8169,Shell mound.,"In spite of Roosevelt's association of these dates with early Alaka pottery, Williams (1997) clarifies that they come from preceramic levels.",Roosevelt 1995,"Roosevelt, Anna Curtenius. 1995. “Early Pottery in the Amazon: Twenty Years of Scholarly Obscurity.” In The Emergence of Pottery: Technology and Innovation in Ancient Societies, edited by W.K. Barnett and J. Hoopes, 115–31. Washington D.C.: Smithsonian Institution Press.",FALSE,NI
Porto da Mina (PA-SA-05),5050,85,SI-2546,Ceramic temper,Mina,-0.8347,-47.0079,"Shell mound 4 m high with layers of charcoal, ash and debris intercalated with layers of burnt shell. A primary burial was uncovered, accompanied by a polished axe.",,Simões 1981,"Simões, Mário F. 1981. “Coletores-Pescadores Ceramistas Do Litoral Do Salgado (Pará): Nota Preliminar.” Boletim Do Museu Paraense Emílio Goeldi 78: 1–26.",FALSE,HZ
